QuestionID,AnswerChar,AnswerChoise
1,A,Structured Query Language
1,B,Structured Query List
1,C,Simple Query Language
2,A,Data Definition Language(DDL)
2,B,Data Manipulation Language(DML)
2,C,Both A & B
3,A,BETWEEN operator
3,B,LIKE operator
3,C,EXISTS operator
4,A,EXISTS operator
4,B,NOT operator
4,C,IS NULL operator
5,A,ALTER TABLE
5,B,MODIFY TABLE
5,C,CHANGE TABLE
6,A,RENAME
6,B,UPDATE
6,C,GRANT
7,A,SELECT DISTINCT
7,B,SELECT UNIQUE
7,C,SELECT DIFFERENT
8,A,Insert
8,B,Modify
8,C,Look-up
9,A,SELECT Username AND Password FROM Users
9,B,"SELECT Username, Password FROM Users"
9,C,"SELECT Username, Password WHERE Username = 'user1'"
10,A,specify what table we are selecting or deleting data FROM
10,B,specify range for search condition
10,C,specify search condition
11,A,DISTINCTIVE
11,B,UNIQUE
11,C,DISTINCT
12,A,TOP
12,B,MAX
12,C,UPPER
13,A,A view is a special stored procedure executed when certain event occurs.
13,B,"A view is a virtual table which results of executing a pre-compiled query. A view is not part of the physical database schema, while the regular tables are."
13,C,A view is a database diagram.
14,A,DELETE
14,B,INSERT
14,C,SELECT
15,A,AVG
15,B,JOIN
15,C,LEN
16,A,SAVE
16,B,UPDATE
16,C,MODIFY
17,A,ALTER
17,B,REMOVE
17,C,DELETE
18,A,SORT BY
18,B,ORDER
18,C,ORDER BY
19,A,MAX
19,B,COUNT
19,C,Both A & B
20,A,Dates
20,B,Column Alias
20,C,Strings
21,A,8
21,B,4
21,C,2
22,A,System.Int16
22,B,System.UInt32
22,C,System.UInt64
23,A,"int a = 32, b = 40.6;"
23,B,int a = 42; b = 40;
23,C,int a = 32; int b = 40;
24,A,long < short < int < sbyte
24,B,sbyte < short < int < long
24,C,short < sbyte < int < long
25,A,sbyte
25,B,short
25,C,int
26,A,c = a + b;
26,B,c = a + int(float(b));
26,C,c = a + convert.ToInt32(b);
27,A,Long Int
27,B,Unsigned Long
27,C,Int
28,A,float somevariable = 12.502D
28,B,float somevariable = (Double) 12.502D
28,C,float somevariable = (float) 12.502D
29,A,Upto 6 digit
29,B,Upto 7 digit
29,C,Upto 9 digit
30,A,10 Bytes
30,B,6 Bytes
30,C,4 Bytes
31,A,#define pi 6.28F
31,B,pi = 6.28F
31,C,const float pi = 6.28F
32,A,1.5 * 10^-40 to 3.4 * 10^38
32,B,1.5 * 10^-45 to 3.4 * 10^30
32,C,1.5 * 10^-45 to 3.4 * 10^38
33,A,0
33,B,TRUE
33,C,FALSE
34,A,Static function/subroutine
34,B,Static data
34,C,Instance function/subroutine
35,A,class declaration
35,B,inheritance
35,C,runtime polymorphism
36,A,interface
36,B,encapsulation
36,C,delegate
37,A,namespace
37,B,interface
37,C,delegate
38,A,delegates are of reference types
38,B,delegates are object oriented
38,C,none of the mentioned
39,A,a single delegate can invoke more than one method
39,B,delegates are type safe wrappers for function pointers
39,C,delegates could be shared
40,A,delegates are not type safe
40,B,delegates can be used to implement callback notification
40,C,delegate is a user defined type
41,A,Fact table
41,B,Query table
41,C,Dimension table
42,A,Publish them to the Power BI service
42,B,"Create a PDF of the report, and share the PDF with others"
42,C,"Copy the .PBIX file to a file folder, and give coworkers access to that folder"
43,A,+
43,B,-
43,C,*
44,A,SUM
44,B,COUNT
44,C,DISTINCT
45,A,Query
45,B,DAX
45,C,Model
46,A,The Relationships view in Power BI Desktop
46,B,The Power BI admin portal
46,C,Power Query Editor in either Power BI Desktop or Power BI Service
47,A,One to Many
47,B,Many to Many
47,C,Many to One
48,A,Power BI
48,B,Power BI Service
48,C,Query Editor
49,A,Report view
49,B,Query editor
49,C,Gateway
50,A,Filter
50,B,Function
50,C,Measures
51,A,Power BI
51,B,Power Service
51,C,Query Editor
52,A,ISNUMBER
52,B,AVERAGE
52,C,CONCATENATE
53,A,Calculated Row
53,B,Measure
53,C,Calculated Colum
54,A,Fact table
54,B,Query table
54,C,Dimension table
55,A,star apple
55,B,banapple
55,C,Both A & B
56,A,"Files, Content Packs, Connectors"
56,B,"Databases, SQL, Azure"
56,C,"Files, SQL, Azure"
57,A,IF
57,B,VLOOKUP
57,C,SUM
58,A,WHERE
58,B,FROM
58,C,TABLE
59,A,SELECT
59,B,WHERE
59,C,DISTINCT
60,A,.xlsx
60,B,.pbi
60,C,.pbix
61,A,Dashboards
61,B,Reports
61,C,Datasets
62,A,gloves
62,B,mixture
62,C,weight
63,A,lounge
63,B,park
63,C,rack
64,A,ground
64,B,park
64,C,pool
65,A,do
65,B,fit
65,C,help
66,A,get
66,B,let
66,C,make
67,A,date
67,B,line
67,C,ring
68,A,crowded
68,B,deep
68,C,thick
69,A,fair
69,B,high
69,C,mild
70,A,dark
70,B,cloudy
70,C,dusty
71,A,helpful
71,B,mild
71,C,reasonable
72,A,fit
72,B,notice
72,C,suit
73,A,deer
73,B,rabbit
73,C,squirrel
74,A,say
74,B,tell
74,C,speak
75,A,many
75,B,much
75,C,far
76,A,borrow
76,B,use
76,C,take
77,A,make
77,B,cook
77,C,boil
78,A,learning
78,B,practising
78,C,teaching
79,A,fever
79,B,headache
79,C,temperature
80,A,stayed
80,B,stopped
80,C,lived
81,A,else
81,B,more
81,C,extra
82,A,paper
82,B,process
82,C,programme
83,A,soft
83,B,hard
83,C,rough
84,A,receiver
84,B,driver
84,C,sender
85,A,receiver
85,B,driver
85,C,sender
86,A,receiver
86,B,driver
86,C,sender
87,A,food bank
87,B,feedback
87,C,food
88,A,social
88,B,physical
88,C,cultural
89,A,physical
89,B,social
89,C,cultural
90,A,nonsense
90,B,noise
90,C,nowhere
91,A,physiological
91,B,psychological
91,C,physical
92,A,verbal
92,B,nonverbal
92,C,written
93,A,employer-father
93,B,employer-employer
93,C,mother-employer
94,A,nonverbal
94,B,verbal
94,C,letter
95,A,message
95,B,feedback
95,C,channel
96,A,five
96,B,eight
96,C,six
97,A,wrong
97,B,correct
97,C,incorrect
98,A,verb
98,B,noun
98,C,pronoun
99,A,visual
99,B,audio
99,C,verbal
100,A,sender
100,B,gives
100,C,taker
101,A,running
101,B,capital
101,C,small
102,A,Indexing
102,B,Outdexing
102,C,Highlighting
103,A,Datasets
103,B,Data frames
103,C,Data
104,A,Subsetting commands
104,B,Use functions
104,C,Packages
105,A,Matrix.li
105,B,Matrix.lists
105,C,List
106,A,Name of the component
106,B,List name
106,C,Function
107,A,Number of the position
107,B,Function
107,C,Package
108,A,Intraction
108,B,Extraction
108,C,AND
109,A,Flower
109,B,Square
109,C,Single
110,A,Double
110,B,Equal
110,C,Triple
111,A,Names
111,B,Name
111,C,Nam
112,A,Concat
112,B,Join
112,C,Reduce
113,A,Spline
113,B,Matrix
113,C,Vector
114,A,Matrix
114,B,Lists
114,C,Vector
115,A,Matrix
115,B,Lists
115,C,Vector
116,A,Spline
116,B,Density
116,C,Locator
117,A,sort()
117,B,orderasc()
117,C,orderby()
118,A,seq()
118,B,sequence()
118,C,order()
119,A,Function
119,B,Lists
119,C,Packages
120,A,C function
120,B,Create
120,C,Destroy
